grid_id;description;event_year;event_date;restore_date;nerc_region;demand_loss_mw;affected_customers;;;;
72;Public Appeal to Reduce Electricity Usage;2014;07/02/2014;07/02/2014;TRE;null;null;;;;
73;Public Appeal to Reduce Electricity Usage;2014;07/02/2014;08/02/2014;TRE;null;null;;;;
74;Fuel Supply Emergency Coal;2014;07/02/2014;21/03/2014;NPCC;675;null;;;;
75;Fuel Supply Emergency Natural Gas;2014;06/02/2014;06/02/2014;WECC;4000;null;;;;
76;Public Appeal to Reduce Electricity Usage;2014;06/02/2014;06/02/2014;TRE;null;null;;;;
77;Fuel Supply Emergency Natural Gas;2014;06/02/2014;06/02/2014;WECC;611;null;;;;
78;Fuel Supply Emergency Natural Gas;2014;06/02/2014;06/02/2014;WECC;160;null;;;;
79;Public Appeal to Reduce Electricity Usage;2014;06/02/2014;07/02/2014;TRE;null;null;;;;
80;Severe Weather SnowIce;2014;05/02/2014;09/02/2014;RFC;null;144000;;;;
81;Severe Weather SnowIce;2014;05/02/2014;09/02/2014;RFC;null;101580;;;;
82;Severe Weather Ice;2014;05/02/2014;05/02/2014;RFC;800;181000;;;;
83;Fuel Supply Emergency Coal;2014;05/02/2014;23/02/2014;NPCC;300;null;;;;
84;Severe Weather SnowIce;2014;05/02/2014;05/02/2014;RFC;null;715000;;;;
85;Severe Weather SnowIce;2014;05/02/2014;07/02/2014;RFC;null;62159;;;;
86;Physical Attack Vandalism;2014;30/01/2014;null;WECC;null;null;;;;
87;Physical Attack Vandalism;2014;29/01/2014;29/01/2014;MRO;null;null;;;;
88;Public Appeal due to Severe Weather Cold;2014;27/01/2014;28/01/2014;RFC;null;null;;;;
89;Physical Attack;2014;26/01/2014;null;RFC;null;null;;;;
90;Physical Attack Vandalism;2014;26/01/2014;27/01/2014;WECC;null;null;;;;
91;Physical Attack Vandalism;2014;25/01/2014;25/01/2014;MRO;null;null;;;;
92;Physical Attack Vandalism;2014;24/01/2014;24/01/2014;MRO;null;null;;;;
93;Fuel Supply Emergency Coal;2014;24/01/2014;09/04/2014;RFC;null;null;;;;
94;Physical Attack Vandalism;2014;23/01/2014;24/01/2014;WECC;null;null;;;;
95;Public Appeal due to Severe Weather Cold;2014;23/01/2014;24/01/2014;SERC;null;null;;;;
96;Public Appeal due to Severe Weather Cold;2014;23/01/2014;24/01/2014;SERC;null;null;;;;
97;Public Appeal due to Severe Weather Cold;2014;23/01/2014;24/01/2014;RFC;null;null;;;;
98;Physical Attack Vandalism;2014;22/01/2014;22/01/2014;RFC;null;null;;;;
99;Physical Attack Vandalism;2014;22/01/2014;22/01/2014;MRO;null;null;;;;
100;Suspected Physical Attack;2014;22/01/2014;23/01/2014;RFC;null;null;;;;
